location_id,warehouse_id,zone,aisle,shelf,bin_code
1,1,Zona A,1,2,B1
2,1,Zona A,1,3,B2
3,1,Zona A,1,4,B3
4,1,Zona A,1,5,B4
5,1,Zona A,2,1,B5
6,1,Zona A,2,2,B6
7,1,Zona A,2,3,B7
8,1,Zona A,2,4,B8
9,1,Zona A,2,5,B9
10,1,Zona A,3,1,B10
11,1,Zona A,3,2,B11
12,1,Zona A,3,3,B12
13,1,Zona A,3,4,B13
14,1,Zona A,3,5,B14
15,1,Zona A,4,1,B15
16,1,Zona A,4,2,B16
17,1,Zona A,4,3,B17
18,1,Zona A,4,4,B18
19,1,Zona A,4,5,B19
20,1,Zona A,5,1,B20
21,1,Zona A,5,2,B21
22,1,Zona A,5,3,B22
23,1,Zona A,5,4,B23
24,1,Zona A,5,5,B24
25,1,Zona A,6,1,B25
26,1,Zona A,6,2,B26
27,1,Zona A,6,3,B27
28,1,Zona A,6,4,B28
29,1,Zona A,6,5,B29
30,1,Zona A,7,1,B30
31,1,Zona A,7,2,B31
32,1,Zona A,7,3,B32
33,1,Zona A,7,4,B33
34,1,Zona A,7,5,B34
35,1,Zona A,8,1,B35
36,1,Zona A,8,2,B36
37,1,Zona A,8,3,B37
38,1,Zona A,8,4,B38
39,1,Zona A,8,5,B39
40,1,Zona A,9,1,B40
